Network;Block;BlockType;SignalName;InputOrParameter;SourceOrValue;OutputDestination;PurposeOrImportantSetting
6;B008;AND;ManualCompletionPulse;IN2;NI3 ManualVEChangeBit;B009.IN2;Command bit2
6;B008;AND;ManualCompletionPulse;IN3;B007.Q;B009.IN2;Current VE must contain cycles
6;B008;AND;ManualCompletionPulse;IN4;ConfigValid;B009.IN2;Configuration must be valid
7;B009;OR;CompletionPulse;IN1;B006.Q;B010.En|B012.En|B013.En|B014.Trg|B017.Cnt;Automatic completion
7;B009;OR;CompletionPulse;IN2;B008.Q;B010.En|B012.En|B013.En|B014.Trg|B017.Cnt;Manual completion
8;B010;Analog watchdog;LastCompletedCycles;En;B009.Q;VW56 via Aen parameter mapping;Sample before reset
8;B010;Analog watchdog;LastCompletedCycles;Ax;NAI10 VW44;VW56 via Aen parameter mapping;Last completed cycle count low word
8;CONST0;Analog constant/output;LastCyclesHigh;Value;0;NAQ4 VW54;High word is 0 in V2
8;B011;Analog multiplexer;CompletionReasonCandidate;S1;B008.Q;B012.Ax;Select 2 for manual otherwise 1
8;B011;Analog multiplexer;CompletionReasonCandidate;V1/V3;1;B012.Ax;Automatic reason
8;B011;Analog multiplexer;CompletionReasonCandidate;V2/V4;2;B012.Ax;Manual reason
8;B012;Analog watchdog;LastCompletionReason;En;B009.Q;VW70 via Aen parameter mapping;Store reason until next completion
8;B012;Analog watchdog;LastCompletionReason;Ax;B011.AQ;VW70 via Aen parameter mapping;1 auto 2 manual
8;B013;Analog watchdog;LastCompletedCavities;En;B009.Q;VW72 via Aen parameter mapping;Store cavities at completion
8;B013;Analog watchdog;LastCompletedCavities;Ax;NAI3 VW6;VW72 via Aen parameter mapping;Needed to reconstruct last VE quantity
9;B014A;Analog amplifier;ValveTimeReference;Ax;NAI6 VW12;B014.T;Gain1 offset0
9;B014;Wiping relay;ValvePulse;Trg;B009.Q;Q1|NQ3|B015.Trg;Output duration controlled by VW12 in 10ms units
9;B014;Wiping relay;ValvePulse;T;B014A actual value;Q1;Allowed 5..500 equals 50..5000ms
10;B015;On-delay;ResetAfterSnapshot;Trg;B014.Q;B016.IN1;20ms after valve starts
10;B015;On-delay;ResetAfterSnapshot;T;20ms;B016.IN1;Snapshot has already been taken
10;B016;AND with edge evaluation;ResetCurrentVEPulse;IN1;B015.Q;B003.R;Exactly one current-VE reset
11;B017;Up/Down counter;CompletedVEs;Cnt;B009.Q;VD80 parameter mapping;One count per completion
11;B017;Up/Down counter;CompletedVEs;R;B025.Q;;Reset for new job
11;B017;Up/Down counter;CompletedVEs;Counter;parameter mapping VD80;;Scratch low word read through NAI12 VW82
11;B018;Analog amplifier;CurrentVENumber;Ax;NAI12 VW82;NAQ2 VW50;Gain1 offset+1
11;B019;Analog amplifier;CompletedVEsOut;Ax;NAI12 VW82;NAQ3 VW52;Gain1 offset0
11;B020;Analog amplifier;LastCompletedVENumber;Ax;NAI12 VW82;NAQ6 VW62;Gain1 offset0
11;B021;Analog amplifier;CompletionSequence;Ax;NAI12 VW82;NAQ7 VW64;Changes exactly once per completed VE
12;B022;Analog comparator;CmdGreaterAck;Ax;NAI2 VW2;B024.IN1;Configure Q true when Ax>Ay
12;B022;Analog comparator;CmdGreaterAck;Ay;NAI11 VW58;B024.IN1;CommandSequence compared to AckSequence
12;B023;Analog comparator;AckGreaterCmd;Ax;NAI11 VW58;B024.IN2;Configure Q true when Ax>Ay
12;B023;Analog comparator;AckGreaterCmd;Ay;NAI2 VW2;B024.IN2;Reverse comparison detects all inequality including wrap
12;B024;OR;NewCommand;IN1;B022.Q;B025.IN1|B008.IN1|B027.En|B028.IN1;New command if sequences differ
12;B024;OR;NewCommand;IN2;B023.Q;B025.IN1|B008.IN1|B027.En|B028.IN1;New command if sequences differ
12;B025;AND;ResetJobPulse;IN1;B024.Q;B003.R|B004.R|B017.R;One-shot only with new sequence
12;B025;AND;ResetJobPulse;IN2;NI2 ResetJobBit;B003.R|B004.R|B017.R;Command bit1
12;B027;Analog watchdog;AckSequenceStore;En;B024.Q;VW58 via Aen mapping;Acknowledge only processed new command
12;B027;Analog watchdog;AckSequenceStore;Ax;NAI2 VW2;VW58 via Aen mapping;Stores latest CommandSequence
13;B028;AND;AcknowledgeAlarmPulse;IN1;B024.Q;AlarmLatch.Reset;Qualified by new sequence
13;B028;AND;AcknowledgeAlarmPulse;IN2;NI4 AcknowledgeAlarmBit;AlarmLatch.Reset;Command bit3
14;B032;Symmetrical pulse generator;LogoHeartbeatClock;Time;0.5s high / 0.5s low;B033.Cnt;Approx one counter increment per second
14;B033;Up/Down counter;LogoHeartbeatCounter;Cnt;positive edge B032;VD84 parameter mapping;Scratch heartbeat
14;B033;Up/Down counter;LogoHeartbeatCounter;R;B034.Q;;Wrap/reset before range exceeds V2
14;B033;Up/Down counter;LogoHeartbeatCounter;OnThreshold;32766;B034.IN1;Wrap trigger
14;B034;AND with edge evaluation;HeartbeatWrap;IN1;B033.Q;B033.R;Single reset pulse
14;B035;Analog amplifier;LogoHeartbeatOut;Ax;NAI13 VW86;NAQ8 VW66;Gain1 offset+1 gives visible range starting at1
15;B036;Analog comparator;PcHeartbeatGreater;Ax;NAI9 VW22;B038.IN1;Compare current PC heartbeat with stored
15;B036;Analog comparator;PcHeartbeatGreater;Ay;NAI14 VW88;B038.IN1;Q true if Ax>Ay
15;B037;Analog comparator;StoredHeartbeatGreater;Ax;NAI14 VW88;B038.IN2;Reverse comparison
15;B037;Analog comparator;StoredHeartbeatGreater;Ay;NAI9 VW22;B038.IN2;Detect wrap and all changes
15;B038;OR;PcHeartbeatChanged;IN1;B036.Q;B039.En|B040.Trg;Any heartbeat change
15;B038;OR;PcHeartbeatChanged;IN2;B037.Q;B039.En|B040.Trg;Any heartbeat change
15;B039;Analog watchdog;PcHeartbeatStore;En;B038.Q;VW88 via Aen mapping;Stores most recently observed heartbeat
15;B039;Analog watchdog;PcHeartbeatStore;Ax;NAI9 VW22;VW88 via Aen mapping;Internal only
15;B040;Off-delay;PcHeartbeatAlive;Trg;B038.Q;NQ6 through inversion;T=5s
15;B040;Off-delay;PcHeartbeatAlive;T;5s;NQ6 through inversion;Heartbeat stale is diagnostic only
16;B041;Analog multiplexer;ProtocolVersionConst;Values;2/2/2/2;NAQ1 VW38;Constant protocol version 2
16;B042;Analog amplifier;CavitiesEcho;Ax;NAI3 VW6;NAQ5 VW60;Gain1 offset0
17;NQ1;Network output;Ready;LocalVM;V41.0;;ConfigValid AND NOT Alarm
17;NQ2;Network output;AutomaticActive;LocalVM;V41.1;;NI1 AutomaticEnabled
17;NQ3;Network output;VEChangeActive;LocalVM;V41.2;;B014.Q
17;NQ4;Network output;Alarm;LocalVM;V41.3;;AlarmLatch
17;NQ5;Network output;CycleInputActive;LocalVM;V41.4;;I1 raw
17;NQ6;Network output;PcHeartbeatStale;LocalVM;V41.5;;NOT B040.Q diagnostic only
